"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"TUR","Türkiye","CITY","City","TR006C","Denizli","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",34.3,,
"CHL","Chile","CITY","City","CL010C","Valparaiso","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",17.3,,
"BGR","Bulgaria","CITY","City","BG009C","Sliven","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.5,,
"ESP","Spain","CITY","City","ES006C","Málaga","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.6,,
"KOR","Korea","CITY","City","KOR14C","Jeju","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",21.3,,
"NLD","Netherlands","CITY","City","NL020C","Haarlemmermeer","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
"USA","United States","CITY","City","USA211C","Maverick","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.4,,
"CAN","Canada","CITY","City","CAN26C","Niagara Falls","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.8,,
"MEX","Mexico","CITY","City","MEX69C","Solidaridad","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12,,
"GBR","United Kingdom","CITY","City","UK571C","Cheltenham","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",9.5,,
"ITA","Italy","CITY","City","IT051C","Pordenone","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16,,
"DEU","Germany","CITY","City","DE004C","Köln","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.5,,
"GBR","United Kingdom","CITY","City","UK586C","Derry & Strabane Local Government District","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.3,,
"MEX","Mexico","CITY","City","MEX61C","San Juan del Rio","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",15.8,,
"PRT","Portugal","CITY","City","PT001C","Lisboa","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.9,,
"NLD","Netherlands","CITY","City","NL029C","Leiden","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.6,,
"ITA","Italy","CITY","City","IT042C","Varese","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.4,,
"ROU","Romania","CITY","City","RO012C","Cǎlǎraşi","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",16.8,,
"USA","United States","CITY","City","USA98C","Greenville","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",7.6,,
"CZE","Czechia","CITY","City","CZ015C","Havířov","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",24,,
"TUR","Türkiye","CITY","City","TR014C","Kars","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",22.7,,
"JPN","Japan","CITY","City","JPN51C","Aomori","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.7,,
"FRA","France","CITY","City","FR027C","Metz","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8.3,,
